file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Billing-System\src\Login.java,Login$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,112,3,19,0,19,6,10,26,0,2,1,10,0,0,0,0,0,0,8,0,4,0,4,0,0,0,16,1,0,false
C:\projects\Billing-System\src\searchCashier.java,searchCashier,searchCashier/0,true,23,0,2,1,1,1,7,37,0,2,0,7,0,0,0,0,0,0,6,27,5,0,0,1,0,0,29,1,0,true
C:\projects\Billing-System\src\addProduct.java,addProduct$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,66,1,19,0,19,3,9,16,0,0,1,9,0,0,0,0,0,0,6,0,4,0,1,0,0,0,10,1,0,false
C:\projects\Billing-System\src\deleteCashier.java,deleteCashier$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,51,1,19,0,19,3,9,11,0,0,1,9,0,0,0,0,0,0,5,0,2,0,2,0,0,0,8,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock,updateTable/0,false,98,1,4,3,1,2,7,8,0,2,0,7,0,0,1,0,0,0,0,6,4,3,1,0,0,0,4,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock,"toExcel/2[javax.swing.JTable,java.io.File]",false,109,0,1,1,0,5,9,20,0,5,2,9,0,0,3,0,1,0,4,3,5,2,3,0,0,0,16,1,0,false
C:\projects\Billing-System\src\showStock.java,showStock,showStock/0,true,34,1,3,1,2,1,10,56,0,5,0,10,1,1,0,0,0,0,13,33,8,0,0,3,0,0,44,1,0,true
C:\projects\Billing-System\src\DB.java,DB,"updateProductToDB/4[java.lang.String,java.lang.String,java.lang.String,int]",false,48,1,2,1,1,3,7,14,0,3,4,7,1,1,0,1,1,0,7,1,3,1,2,0,0,0,31,9,0,false
C:\projects\Billing-System\src\DB.java,DB,searchP/1[java.lang.String],false,311,1,2,1,1,3,10,19,1,4,1,10,1,1,0,0,1,0,5,0,4,1,2,0,0,0,26,9,0,false
C:\projects\Billing-System\src\DB.java,DB,DBConnection/0,false,16,0,15,15,0,2,4,12,1,1,0,4,0,0,0,0,1,0,6,0,2,1,1,0,0,0,13,9,0,false
