file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIAutori.java,org.dew.cms.gui.forms.GUIAutori$Anonymous2,anonymous,0,0,0,0,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIPagine.java,org.dew.cms.gui.forms.GUIPagine,class,14,20,6,14,78,2,0,108,332,0.84375,0.15927419,0.27620968,32,4,5,0,27,0,32,0,0,0,10,1,0,1,9,0,1,0,17,552,24,3,19,1,1,42,41,101,6,90,4,8,0,0,165,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUITipiArticolo.java,org.dew.cms.gui.forms.GUITipiArticolo$Anonymous2,anonymous,1,1,0,1,3,1,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,29,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous5,anonymous,1,1,0,1,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIAutori.java,org.dew.cms.gui.forms.GUIAutori$Anonymous1,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUITipiArticolo.java,org.dew.cms.gui.forms.GUITipiArticolo$Anonymous3,anonymous,0,0,0,0,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\src\main\java\org\dew\cms\web\InitBackEnd.java,org.dew.cms.web.InitBackEnd,class,7,8,1,7,13,2,0,29,4,0.6666667,0.16666667,0.16666667,4,0,3,0,1,0,4,0,0,0,6,2,0,6,0,0,2,0,8,75,2,1,2,2,0,29,1,21,7,16,3,0,0,0,76,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUISottocategorie.java,org.dew.cms.gui.forms.GUISottocategorie$Anonymous1,anonymous,1,1,0,1,3,1,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,29,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\SessionManager.java,org.dew.cms.gui.SessionManager,class,4,4,0,4,17,1,0,21,8,0.375,0.35714287,0.35714287,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,66,6,0,4,1,0,13,6,12,3,8,3,0,0,0,44,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUISottocategorie.java,org.dew.cms.gui.forms.GUISottocategorie$Anonymous2,anonymous,0,0,0,0,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\src\main\java\org\dew\cms\util\SimpleUserTransaction.java,org.dew.cms.util.SimpleUserTransaction,class,2,3,1,2,11,1,0,5,9,0.42857143,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,40,1,0,0,3,0,0,1,1,0,1,2,0,0,0,25,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPDescrizioni.java,org.dew.cms.gui.forms.DPDescrizioni$Anonymous1,anonymous,1,1,0,1,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\src\main\java\org\dew\cms\Price.java,org.dew.cms.Price,class,2,4,2,2,24,1,0,8,109,0.8421053,0.18128654,0.8947368,19,0,19,0,0,0,19,0,0,0,8,1,0,8,0,0,1,0,0,76,12,0,3,0,2,0,2,17,0,10,1,0,0,0,38,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\common\ICategoria.java,org.dew.cms.common.ICategoria,interface,0,2,2,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,14,1,0
